"party","lemma","n","log_odds_weighted"
"Civic Democrats (ODS)","beneficient",1,2.16319855749559
"Civic Democrats (ODS)","Berte",2,2.98519960502579
"Civic Democrats (ODS)","bezbřehý",1,2.00492952641703
"Civic Democrats (ODS)","bezesporu",1,2.16319855749559
"Civic Democrats (ODS)","bezhlavý",1,2.16319855749559
"Civic Democrats (ODS)","bezhodnotový",2,2.36055431000245
"Civic Democrats (ODS)","bezodkladně",1,2.11084294272869
"Civic Democrats (ODS)","bezpečí",2,1.11146397243159
"Civic Democrats (ODS)","bezpečně",2,1.60217142677371
"Civic Democrats (ODS)","bezpečnost",9,1.23363283771635
"Civic Democrats (ODS)","bezpečnostní",10,3.50313870511509
"Civic Democrats (ODS)","bezpečný",7,1.0250375894057
"Civic Democrats (ODS)","bezprecedentní",1,2.16319855749559
"Civic Democrats (ODS)","bezradnost",4,3.79486168245707
"Civic Democrats (ODS)","Bezskrupulózní",1,2.11084294272869
"Civic Democrats (ODS)","běžný",1,1.83344328354286
"Civic Democrats (ODS)","biflování“",1,2.11084294272869
"Civic Democrats (ODS)","biflovat",2,2.98519960502579
"Civic Democrats (ODS)","biodiverzita",1,2.11084294272869
"Civic Democrats (ODS)","BIS",2,2.73062686685408
"Civic Democrats (ODS)","bizon",1,2.11084294272869
"Civic Democrats (ODS)","blábolit",2,2.73062686685408
"Civic Democrats (ODS)","blah",1,2.11084294272869
"Civic Democrats (ODS)","Blanka",1,2.11084294272869
"Civic Democrats (ODS)","blízký",7,0.988054327300447
"Civic Democrats (ODS)","blok",2,1.12303077944234
"Civic Democrats (ODS)","bod",6,-0.280870489692708
"Civic Democrats (ODS)","bohatství",1,1.26348457551207
"Civic Democrats (ODS)","bohatý",1,1.87994095568822
"Civic Democrats (ODS)","bohulibý",1,2.11084294272869
"Civic Democrats (ODS)","Bohuslav",2,3.17155310396588
"Civic Democrats (ODS)","boj",8,-0.220902706672275
